id,component,category,用途,典型场景,特点,基础属性,复合/基础,来源文档段落
1,Panel,基础容器,作为其他UI元素的容器,主界面背景;弹窗背景;功能模块容器,可设背景图片/颜色;支持透明度;可为父节点,背景色/图片/透明度,基础,1
2,ScrollView,基础容器,显示超出屏幕范围的内容,物品列表;聊天记录;排行榜;任务列表,水平/垂直滚动;惯性滚动;弹性效果,方向;滚动惯性,基础,2
3,Layout,基础容器,自动排列子元素,按钮组;物品栏;技能栏;菜单项,多种布局方式;自动调整间距;动态增删,布局类型;间距,基础,3
4,Label,信息展示,显示文字信息,游戏标题;玩家名称;属性数值;提示信息;对话内容,多字体;描边/阴影;富文本,字体;字号;描边,基础,43
5,ProgressBar,信息展示,显示进度或数值比例,生命值条;经验值条;加载进度;技能冷却,多样式;动画;反向填充,最大值;当前值,基础,56
6,Sprite,信息展示,显示图片资源,角色头像;物品图标;背景图片;特效图片,图片裁剪;颜色叠加;九宫格缩放,图片路径;九宫格参数,基础,68
7,Button,交互,响应用户点击,功能按钮;确认/取消;菜单选项;技能按钮,多状态;点击效果;长按,按钮状态;回调,基础,82
8,Toggle,交互,表示开关状态,设置选项;功能开关;多选,选中/未选;切换动画;单/多选,状态;分组,基础,94
9,Slider,交互,调节数值,音量;亮度;进度,拖拽;步进值;范围限制,最小值;最大值;当前值,基础,105
10,EditBox,特殊功能,接收用户输入,登录;聊天;搜索;数值输入,多输入模式;输入限制;占位文本,输入类型;限制,基础,118
11,RichText,信息展示,显示格式化文本,公告;任务描述;物品说明;聊天消息,格式化;多样式,富文本内容,基础,130
12,Panel+Label+Button,复合组件,信息弹窗,弹窗提示;确认对话框,组合型;可定制内容,Panel属性;Label属性;Button属性,复合,-
13,ScrollView+Layout+Label,复合组件,聊天窗口,消息列表;滚动聊天,组合型;自动排列,ScrollView属性;Layout属性;Label属性,复合,-
14,Panel+Sprite+Button,复合组件,带图标按钮,图标按钮;快捷操作,组合型;图文结合,Panel属性;Sprite属性;Button属性,复合,-
15,ProgressBar+Label,复合组件,带数值进度条,经验条;血条,组合型;进度与数值,ProgressBar属性;Label属性,复合,-
16,Animation,特殊功能,播放动画效果,界面过渡;特效展示;状态切换,关键帧动画;动画曲线;动画事件,动画类型;事件,基础,142
17,Avatar,信息展示,显示角色头像,角色信息;玩家资料,支持多种图片;可切换,图片路径,基础,-
18,Icon,信息展示,显示功能或物品图标,菜单;物品栏;快捷入口,多种样式;可组合,图片路径,基础,-
19,Card,信息展示,显示卡片信息,卡牌;物品;任务,内容丰富;可翻转,卡片内容,基础,-
20,Dialog,复合组件,弹窗对话框,提示信息;确认取消,组合型;可定制内容,Panel+Label+Button,复合,-
21,Tooltip,复合组件,悬浮提示,属性说明;物品描述,组合型;自动弹出,Panel+Label,复合,-
22,Dropdown,复合组件,下拉菜单,选项选择;筛选,组合型;可展开收起,Panel+Label+Button,复合,-
23,Tab,复合组件,选项卡,界面切换;功能分组,组合型;切换高亮,Panel+Button+Label,复合,-
24,ProgressBar+Icon,复合组件,带图标进度条,能量条;技能冷却,组合型;图标与进度结合,ProgressBar+Sprite,复合,-
25,Slider+Label,复合组件,带标签滑动条,音量调节;亮度调节,组合型;数值显示,Slider+Label,复合,-
26,Panel+ScrollView+Layout,复合组件,复杂列表,邮件列表;背包,组合型;多层嵌套,Panel+ScrollView+Layout,复合,-
27,Panel+Animation,复合组件,带动画面板,动态弹窗;特效面板,组合型;动画与内容结合,Panel+Animation,复合,-
28,Panel+RichText,复合组件,富文本弹窗,公告;说明,组合型;富文本内容,Panel+RichText,复合,-
29,Panel+Slider+Button,复合组件,带滑动条的设置项,音量;灵敏度,组合型;可调节,Panel+Slider+Button,复合,-
30,Panel+Toggle+Label,复合组件,带开关的设置项,选项;功能开关,组合型;状态显示,Panel+Toggle+Label,复合,-
31,Panel+ProgressBar+Label,复合组件,带标题进度条,任务进度;加载,组合型;进度与标题,Panel+ProgressBar+Label,复合,-
32,Panel+Tab+ScrollView,复合组件,分页列表,排行榜;任务,组合型;分页与滚动,Panel+Tab+ScrollView,复合,-
33,Panel+Avatar+Label,复合组件,带头像信息栏,玩家信息;聊天,组合型;头像与昵称,Panel+Sprite+Label,复合,-
34,Panel+Card+Button,复合组件,卡片选择框,卡牌选择;物品选择,组合型;可选中,Panel+Card+Button,复合,-
35,Panel+Icon+Label,复合组件,带图标标签,菜单项;快捷入口,组合型;图标与文本,Panel+Sprite+Label,复合,-
36,Panel+Tooltip,复合组件,带说明弹窗,属性详情;帮助,组合型;自动弹出,Panel+Tooltip,复合,-
37,Panel+EditBox+Button,复合组件,输入确认区,搜索;输入框,组合型;输入与确认,Panel+EditBox+Button,复合,-
38,Panel+List+Button,复合组件,可操作列表,好友列表;邮件,组合型;操作按钮,Panel+ScrollView+Button,复合,-
39,Panel+Slider+Toggle,复合组件,滑动开关组,设置项;音量,组合型;调节与开关,Panel+Slider+Toggle,复合,-
40,Panel+ProgressBar+Button,复合组件,进度操作区,升级;充能,组合型;进度与操作,Panel+ProgressBar+Button,复合,-
41,ListView,信息展示,高效展示大量数据,好友列表;物品列表;邮件列表,虚拟化;循环复用;高性能,数据源;项模板,基础,-
42,TreeView,信息展示,分层展示结构化数据,任务树;技能树;文件管理,节点可展开收起;层级结构,节点数据;层级关系,基础,-
43,GridView,信息展示,网格排列内容,背包格子;商城;排行榜,自动布局;支持拖拽,行列数;间距,基础,-
44,PageView,交互,分页切换内容,轮播图;新手引导;活动页,滑动分页;自动轮播,页数;当前页,基础,-
45,Stepper,交互,数值步进调节,数量选择;设置项,加减按钮;最小最大值,步进值;当前值,基础,-
46,RadioButton,交互,单选项选择,设置;问卷;选项,互斥选择;分组,分组名;选中状态,基础,-
47,CheckBox,交互,多选项选择,设置;筛选;偏好,可单独或批量选择,选中状态,基础,-
48,ColorPicker,特殊功能,颜色选择,头像编辑;画板;主题定制,色盘;自定义颜色,当前颜色,基础,-
49,DatePicker,特殊功能,日期选择,签到;日程;活动,日历视图;快捷选择,当前日期,基础,-
50,TimePicker,特殊功能,时间选择,闹钟;预约;活动,时分秒选择,当前时间,基础,-
51,FileSelector,特殊功能,文件选择,头像上传;导入导出,本地文件系统,文件路径,基础,-
52,VideoPlayer,特殊功能,视频播放,剧情动画;广告;教学,播放/暂停/进度,视频路径,基础,-
53,AudioPlayer,特殊功能,音频播放,语音消息;配音;BGM,播放/暂停/进度,音频路径,基础,-
54,WebView,特殊功能,网页嵌入,公告;客服;第三方内容,支持HTML/JS,URL,基础,-
55,QRCode,特殊功能,二维码显示与识别,登录;分享;扫码,生成/识别二维码,内容数据,基础,-
56,LoadingSpinner,特殊功能,加载指示,加载中;等待反馈,旋转动画;可自定义样式,动画类型,基础,-
57,Breadcrumb,导航,路径导航,文件浏览;多级菜单,分级显示;可点击跳转,节点路径,基础,-
58,Badge,信息展示,角标/红点提示,新消息;未读;奖励,数字/红点/图标,显示内容,基础,-
59,Notification,信息展示,临时通知,成就解锁;任务完成;奖励,自动消失;动画,内容文本,基础,-
60,Overlay,特殊功能,遮罩/弹窗背景,弹窗;引导;高亮,半透明;阻止交互,透明度;遮罩色,基础,-
61,MiniMap,游戏特色,小地图,战斗;探索;导航,实时显示;可缩放,地图数据,基础,-
62,Joystick,游戏特色,虚拟摇杆,移动;射击;控制,方向检测;支持多点,方向;力度,基础,-
63,SkillWheel,游戏特色,技能轮盘,技能释放;快捷栏,环形布局;拖拽选择,技能列表,基础,-
64,DragDrop,交互,拖拽操作,背包管理;UI自定义,拖拽反馈;目标识别,拖拽源;目标,基础,-
65,ParticleEffect,特效,粒子特效UI,技能释放;界面装饰,可定制粒子参数,粒子配置,基础,-
66,Timer,特殊功能,倒计时/计时器,活动;副本;冷却,自动倒计时;到时回调,剩余时间,基础,-
67,ProgressCircle,信息展示,圆形进度,技能冷却;加载,环形显示;可动画,最大值;当前值,基础,-
68,StarRating,信息展示,星级评分,评价;成就,可选星数;半星,星数,基础,-
69,Gauge,信息展示,仪表盘/能量槽,赛车;能量;血量,弧形/圆形/条形,最大值;当前值,基础,-
70,SpeechBubble,信息展示,对话气泡,聊天;NPC对话,自动指向;动画,文本内容,基础,-
71,CameraFeed,特殊功能,摄像头画面,AR;视频通话,实时视频流,视频流,基础,-
72,GestureArea,交互,手势识别,滑动;捏合;旋转,多点触控,手势类型,基础,-
73,Accordion,复合组件,折叠面板,设置;帮助;FAQ,可展开收起,Panel+Button+Layout,复合,-
74,Wizard,复合组件,多步流程,注册;任务引导,步骤切换,Panel+Button+Label,复合,-
75,SplitView,复合组件,分割视图,编辑器;多窗口,可拖动分栏,Panel+Layout,复合,-
76,DockPanel,复合组件,停靠面板,编辑器;工具栏,可拖动/吸附,Panel+Button+Layout,复合,-
77,NotificationCenter,复合组件,消息中心,系统通知;活动,分类展示,Panel+ScrollView+Label,复合,-
78,ChatBubble,复合组件,聊天气泡,聊天;消息,自动适应文本,Panel+Label,复合,-
79,FriendList,复合组件,好友列表,社交;组队,头像+昵称+状态,Panel+ScrollView+Avatar,复合,-
80,InventoryGrid,复合组件,背包格子,物品管理;装备,拖拽/分组,Panel+GridView+Item,复合,-
81,ShopItem,复合组件,商城物品,商城;道具,价格/折扣/标签,Panel+Sprite+Label+Button,复合,-
82,Banner,复合组件,横幅广告,活动;公告,自动轮播;可点击,Panel+Sprite+Button,复合,-
83,Carousel,复合组件,轮播图,焦点图;推荐,自动轮播;分页指示,Panel+PageView+Button,复合,-
84,MultiSelect,交互,多项选择,筛选;偏好设置,支持多选;可搜索,选中项列表,基础,-
85,ComboBox,交互,可输入下拉选择,筛选;表单输入,可输入/选择;自动补全,输入内容;选中项,基础,-
86,NumberInput,交互,数字输入,数量设置;表单,步进器;限制范围,最小值;最大值;当前值,基础,-
87,SearchBox,交互,文本搜索,列表;数据筛选,实时过滤;联想建议,输入内容,基础,-
88,Tag,信息展示,标签/可移除标签,分类;筛选;多标签,可关闭;可自定义颜色,标签内容,基础,-
89,AvatarGroup,信息展示,多头像组,成员展示;团队,自动排列;溢出显示,头像列表,基础,-
90,ProgressStep,信息展示,进度步骤条,注册流程;任务进度,分步显示;可高亮,步骤数;当前步骤,基础,-
91,RangeSlider,交互,区间滑块,数值范围选择,双滑块;区间限制,最小值;最大值;当前区间,基础,-
92,Switch,交互,切换开关,设置;状态切换,动画切换;支持禁用,当前状态,基础,-
93,Popover,特殊功能,弹出层/悬浮面板,功能扩展;辅助说明,自定义内容;位置可调,内容组件,基础,-
94,Collapse,复合组件,折叠面板,FAQ;设置项,可展开收起,Panel+Button+Layout,复合,-
95,Drawer,复合组件,侧边抽屉,菜单;设置;导航,滑出/滑入;可自定义宽度,Panel+Button+Layout,复合,-
96,Affix,特殊功能,吸顶/吸底组件,导航栏;工具条,滚动固定,目标节点,基础,-
97,Divider,信息展示,分割线,内容分隔;布局,多种样式,线型;颜色,基础,-
98,Skeleton,特殊功能,骨架屏,加载占位;数据等待,动画;多样式,占位类型,基础,-
99,Empty,信息展示,无数据占位,列表为空;搜索无结果,自定义图标/文本,内容组件,基础,-
100,Pagination,交互,分页器,数据分页;列表,页码跳转;快速翻页,总页数;当前页,基础,-
101,ScrollBar,交互,自定义滚动条,大数据滚动,自定义皮肤,方向;长度,基础,-
102,Heatmap,信息展示,热力图,点击分布;活动统计,颜色渐变;区域分布,数据源,基础,-
103,RadarChart,信息展示,雷达图,属性分布;能力对比,多维属性展示,属性列表,基础,-
104,PieChart,信息展示,饼图,数据统计;占比分析,动态/静态,数据源,基础,-
105,BarChart,信息展示,柱状图,数据对比;统计,横向/纵向,数据源,基础,-
106,LineChart,信息展示,折线图,趋势分析;数据变化,多条折线,数据源,基础,-
107,Compass,游戏特色,罗盘,导航;方向指示,动态旋转,当前方向,基础,-
108,QuestTracker,游戏特色,任务追踪器,主线/支线任务,实时更新;高亮提示,任务列表,基础,-
109,BuffDebuffIndicator,游戏特色,增益减益状态,战斗;技能,图标显示;计时,状态列表,基础,-
110,ComboCounter,游戏特色,连击计数,格斗;音游,动态数值动画,当前连击数,基础,-
111,QuickChat,交互,快捷聊天,组队;对战,预设短语;表情,消息列表,基础,-
112,EmotePanel,交互,表情选择,聊天;互动,动画表情,表情列表,基础,-
113,VoiceChatButton,交互,语音聊天按钮,组队;公会,录音;语音发送,录音状态,基础,-
114,NotificationBadge,信息展示,动态角标,新消息;活动,数字/红点,显示内容,基础,-
115,CountdownBar,信息展示,动态倒计时条,副本;活动,动画进度,剩余时间,基础,-
116,MatchmakingStatus,信息展示,匹配状态,对战;组队,动态提示,当前状态,基础,-
117,ReplayBar,交互,回放进度条,录像;赛事,拖拽进度,当前时间,基础,-
118,SaveIndicator,信息展示,存档提示,自动保存;进度保存,动画提示,当前状态,基础,-
119,AchievementToast,信息展示,成就弹窗,成就达成,自动消失;动画,内容文本,基础,-
120,GiftBox,信息展示,礼包展示,奖励;签到,动画展示,奖励列表,基础,-
121,DailyReward,信息展示,每日奖励,签到;活跃,自动弹出,奖励列表,基础,-
122,SeasonPass,游戏特色,赛季通行证,成长奖励;活动,进度展示,奖励列表,基础,-
123,SocialShare,特殊功能,社交分享,分享;邀请,多平台支持,分享内容,基础,-
124,ARMarker,特殊功能,AR标记,AR识别;定位,图像识别,标记内容,基础,-
125,AccessibilityPanel,特殊功能,无障碍辅助,大字体;高对比度,支持多种辅助模式,模式列表,基础,-
126,LocalizationSwitcher,特殊功能,多语言切换,国际化;本地化,动态切换,当前语言,基础,-
127,ThemeSwitcher,特殊功能,主题切换,夜间模式;自定义皮肤,动态切换,当前主题,基础,-
128,FPSCounter,特殊功能,帧率显示,性能监控,实时刷新,当前帧率,基础,-
129,DebugPanel,特殊功能,调试面板,开发者工具,实时数据;日志,内容列表,基础,-
130,UpdatePrompt,特殊功能,更新提示,维护;新版本,弹窗提示,内容文本,基础,-
131,LegalNotice,特殊功能,法律声明,隐私政策;用户协议,可跳转链接,内容文本,基础,-
132,CookieConsent,特殊功能,Cookie授权,隐私提示,弹窗同意,当前状态,基础,-
133,GuideArrow,特殊功能,引导箭头,新手引导;任务指示,动态指向,目标节点,基础,-
134,OnboardingPanel,复合组件,新手引导面板,教学流程;首次进入,分步展示,Panel+Label+Button,复合,-
135,FeedbackForm,复合组件,反馈表单,用户建议;BUG反馈,多字段输入,Panel+EditBox+Button,复合,-
136,SurveyPanel,复合组件,问卷调查,用户调研;满意度,多题型支持,Panel+RadioButton+CheckBox,复合,-
137,WalkthroughPanel,复合组件,通关攻略面板,关卡攻略;新手教学,分步展示;图文结合,Panel+Label+Image,复合,-
138,MapMarker,信息展示,地图标记,地图导航;任务指示,自定义图标;动态高亮,位置;类型,基础,-
139,WorldMap,游戏特色,世界地图,大世界探索;区域切换,多层级缩放;区域高亮,地图数据,基础,-
140,PinInput,交互,密码输入,账号安全;解锁,多位数字输入,输入位数,基础,-
141,CalendarView,信息展示,日历视图,签到;活动;排期,多日期高亮;事件标记,日期列表,基础,-
142,Timeline,信息展示,时间轴,剧情回顾;进度展示,节点可自定义;动态动画,节点列表,基础,-
143,RewardWheel,游戏特色,转盘抽奖,抽奖;奖励,旋转动画;概率配置,奖品列表,基础,-
144,SpinButton,交互,旋转按钮,抽奖;小游戏,旋转反馈,旋转角度,基础,-
145,ReplayButton,交互,回放按钮,录像;赛事,可重复播放,当前状态,基础,-
146,ZoomControl,交互,缩放控制,地图;图片查看,放大缩小,缩放级别,基础,-
147,ImageCropper,特殊功能,图片裁剪,头像设置;图片编辑,自定义裁剪区域,裁剪参数,基础,-
148,AvatarEditor,复合组件,头像编辑器,角色创建;头像自定义,多功能编辑,Panel+Image+Button,复合,-
149,ItemSlot,信息展示,物品格子,背包;装备栏,可拖拽;状态高亮,物品数据,基础,-
150,EquipmentPanel,复合组件,装备面板,角色装备;属性展示,多部位展示,Panel+ItemSlot+Label,复合,-
151,SkillTree,复合组件,技能树,技能升级;分支选择,节点可解锁,Panel+TreeView+Button,复合,-
152,FriendRequestPanel,复合组件,好友申请面板,社交;好友管理,批量处理,Panel+ListView+Button,复合,-
153,MailPanel,复合组件,邮件面板,消息;奖励领取,多标签页,Panel+Tab+ListView,复合,-
154,ShopPanel,复合组件,商城面板,道具购买;礼包,多分类;筛选,Panel+Tab+GridView,复合,-
155,ChatPanel,复合组件,聊天面板,实时聊天;频道切换,多频道支持,Panel+Tab+ListView,复合,-
156,VoiceInput,交互,语音输入,聊天;指令,录音识别,录音数据,基础,-
157,EmotionAnimation,特效,表情动画,互动;聊天,动态表情,动画数据,基础,-
158,ParticleButton,特效,粒子按钮,特效按钮;交互反馈,粒子特效,粒子配置,基础,-
159,AnimatedIcon,特效,动态图标,状态指示;动画装饰,帧动画;循环播放,动画帧,基础,-
160,AnimatedProgressBar,特效,动态进度条,加载;技能冷却,动画进度,最大值;当前值,基础,-
161,CustomScrollbar,交互,自定义滚动条,大数据滚动,自定义皮肤,方向;长度,基础,-
162,OverlayMenu,复合组件,悬浮菜单,快捷操作;功能入口,自定义布局,Panel+Button+Icon,复合,-
163,ContextMenu,复合组件,右键菜单,快捷操作;编辑器,动态生成,Panel+Button+Label,复合,-
164,AppShortcut,信息展示,应用快捷方式,桌面;启动器,自定义图标,应用数据,基础,-
165,ClipboardPanel,特殊功能,剪贴板面板,复制粘贴;历史记录,多项管理,内容列表,基础,-
166,CloudSaveIndicator,特殊功能,云存档提示,云同步;存档,状态显示,当前状态,基础,-
167,ReconnectPrompt,特殊功能,断线重连提示,网络异常;重连,自动检测,当前状态,基础,-
168,MaintenanceNotice,特殊功能,维护公告,停服;更新,弹窗提示,内容文本,基础,-
169,GiftCodeInput,交互,礼包码输入,奖励兑换,输入校验,输入内容,基础,-
170,PromoBanner,信息展示,促销横幅,活动;商城,自动轮播,内容文本,基础,-
171,WeatherWidget,信息展示,天气组件,场景变化;活动,实时天气,天气数据,基础,-
172,RankingPanel,复合组件,排行榜面板,竞技;积分榜,多分类;分页,Panel+Tab+ListView,复合,-
173,PlayerCard,信息展示,玩家名片,社交;竞技,动态展示,玩家数据,基础,-
174,LoadingScreen,特殊功能,加载界面,场景切换;资源加载,进度显示,进度条;提示文本,基础,-
175,StartupSplash,特殊功能,启动闪屏,游戏启动,动画播放,图片/动画,基础,-
176,ErrorDialog,复合组件,错误弹窗,异常提示;报错,自动消失;可重试,Panel+Label+Button,复合,-
177,ReconnectButton,交互,重连按钮,网络异常;断线,自动重试,当前状态,基础,-
178,SettingsPanel,复合组件,设置面板,音量;画质;操作,多分类;滑块/开关,Panel+Tab+Slider+Toggle,复合,-
179,PrivacyPanel,复合组件,隐私面板,隐私设置;授权,多选项,Panel+Toggle+Label,复合,-
180,AboutPanel,复合组件,关于面板,版本信息;开发团队,多行文本,Panel+Label,复合,-
